edge_id,event_type,target,direction,lag_min,lag_max,duration,teacher_confidence,statistical_confidence,bootstrap_sign_stability,support_count,accepted,split_used
e4ec43e05893d34b,climate_extreme,OT,negative,1,7,7,0.55,0.02259604590219402,0.6,5,False,train_core
d332f39d871a2313,conflict_security,OT,positive,1,7,7,0.68,0.03881014815904072,0.7058823529411765,17,False,train_core
4d8bd172a6b67387,demand_reduction,OT,negative,1,7,7,0.68,0.11940711156616148,0.8,5,False,train_core
404d90bb8b5acd93,economic_shock,OT,negative,1,7,7,0.68,0.10315427114680147,0.47,100,False,train_core
50627ef758b5aaf4,other,OT,positive,1,7,7,0.35,0.20140195426050472,0.5335515548281505,611,False,train_core
22d5c13ddaabdb99,policy_regulation,OT,positive,1,7,7,0.55,0.005414190096003768,0.5384615384615384,78,False,train_core
62a458296c0b21cf,price_decrease,OT,positive,1,7,7,0.62,0.1510989525782066,0.8,36,False,train_core
10ef6d4f66554d4a,price_increase,OT,negative,1,7,7,0.68,0.30039613087215816,0.42857142857142855,36,False,train_core
2b2b2b4e2eaa6121,supply_increase,OT,positive,1,7,7,0.68,0.04831298715006313,0.5555555555555556,63,False,train_core
7da4f3dfa908e54e,supply_reduction,OT,positive,1,7,7,0.68,0.013348133038239346,0.8095238095238095,21,False,train_core
