MSE,MAE,RMSE,NMSE,sMAPE,Directional Accuracy,Trend Macro-F1,model_val_MSE,method,backbone,seed,run_id,runtime_sec,n_test_windows,prediction_path,Dataset,Horizon,Method,Structured event,Causal graph,Inverse event,Lag-aware verifier,APO,Backbone,TaTS LM status,official_pretrained_tats_status,split_hash
0.11421765234483838,0.24589198178404736,0.3379610219312848,0.15006842298724254,0.2409220918096183,0.4895833333333333,0.2973137973137973,0.04439032835592843,A1_Zero-text-TaTS,PatchTST,2024,Energy_A1_Zero-text-TaTS_PatchTST_H3_S2024_8aa6cb61,0.10607576370239258,96,C:\Users\Administrator\Desktop\TS\cen-ts-verifiable-event-causal-narratives\results\v5\runs\Energy_A1_Zero-text-TaTS_PatchTST_H3_S2024_8aa6cb61\predictions.npz,Energy,3,A1_Zero-text-TaTS,True,False,False,False,False,PatchTST,zero_text_control,failed_timeout_weights_download,432fc5f4b01772f4
0.11421765234483838,0.24589198178404736,0.3379610219312848,0.15006842298724254,0.2409220918096183,0.4895833333333333,0.2973137973137973,0.04439032835592843,A2_Shuffled-raw-text,PatchTST,2024,Energy_A2_Shuffled-raw-text_PatchTST_H3_S2024_66a958e8,0.11414241790771484,96,C:\Users\Administrator\Desktop\TS\cen-ts-verifiable-event-causal-narratives\results\v5\runs\Energy_A2_Shuffled-raw-text_PatchTST_H3_S2024_66a958e8\predictions.npz,Energy,3,A2_Shuffled-raw-text,True,False,False,False,False,PatchTST,random_init_input_embedding_only_pretrained_weights_timeout,failed_timeout_weights_download,432fc5f4b01772f4
0.11421765234483838,0.24589198178404736,0.3379610219312848,0.15006842298724254,0.2409220918096183,0.4895833333333333,0.2973137973137973,0.04439032835592843,A3_Shuffled-event-time,PatchTST,2024,Energy_A3_Shuffled-event-time_PatchTST_H3_S2024_14c1a9ef,0.11954116821289062,96,C:\Users\Administrator\Desktop\TS\cen-ts-verifiable-event-causal-narratives\results\v5\runs\Energy_A3_Shuffled-event-time_PatchTST_H3_S2024_14c1a9ef\predictions.npz,Energy,3,A3_Shuffled-event-time,True,False,False,False,False,PatchTST,random_init_input_embedding_only_pretrained_weights_timeout,failed_timeout_weights_download,432fc5f4b01772f4
0.11421765234483838,0.24589198178404736,0.3379610219312848,0.15006842298724254,0.2409220918096183,0.4895833333333333,0.2973137973137973,0.04439032835592843,A4_Random-causal-graph,PatchTST,2024,Energy_A4_Random-causal-graph_PatchTST_H3_S2024_09dafdb7,0.1125190258026123,96,C:\Users\Administrator\Desktop\TS\cen-ts-verifiable-event-causal-narratives\results\v5\runs\Energy_A4_Random-causal-graph_PatchTST_H3_S2024_09dafdb7\predictions.npz,Energy,3,A4_Random-causal-graph,True,True,False,False,False,PatchTST,random_init_input_embedding_only_pretrained_weights_timeout,failed_timeout_weights_download,432fc5f4b01772f4
0.11421765234483838,0.24589198178404736,0.3379610219312848,0.15006842298724254,0.2409220918096183,0.4895833333333333,0.2973137973137973,0.04439032835592843,A5_Teacher-only-graph,PatchTST,2024,Energy_A5_Teacher-only-graph_PatchTST_H3_S2024_4b0e0f2a,0.11751317977905273,96,C:\Users\Administrator\Desktop\TS\cen-ts-verifiable-event-causal-narratives\results\v5\runs\Energy_A5_Teacher-only-graph_PatchTST_H3_S2024_4b0e0f2a\predictions.npz,Energy,3,A5_Teacher-only-graph,True,True,False,False,False,PatchTST,random_init_input_embedding_only_pretrained_weights_timeout,failed_timeout_weights_download,432fc5f4b01772f4
0.11421765234483838,0.24589198178404736,0.3379610219312848,0.15006842298724254,0.2409220918096183,0.4895833333333333,0.2973137973137973,0.04439032835592843,A6_Verifier-without-inverse-event,PatchTST,2024,Energy_A6_Verifier-without-inverse-event_PatchTST_H3_S2024_65df633f,0.1132211685180664,96,C:\Users\Administrator\Desktop\TS\cen-ts-verifiable-event-causal-narratives\results\v5\runs\Energy_A6_Verifier-without-inverse-event_PatchTST_H3_S2024_65df633f\predictions.npz,Energy,3,A6_Verifier-without-inverse-event,True,False,True,True,False,PatchTST,random_init_input_embedding_only_pretrained_weights_timeout,failed_timeout_weights_download,432fc5f4b01772f4
0.11421765234483838,0.24589198178404736,0.3379610219312848,0.15006842298724254,0.2409220918096183,0.4895833333333333,0.2973137973137973,0.04439032835592843,A7_Verifier-without-lag-aware-mask,PatchTST,2024,Energy_A7_Verifier-without-lag-aware-mask_PatchTST_H3_S2024_7f0397cc,0.1448047161102295,96,C:\Users\Administrator\Desktop\TS\cen-ts-verifiable-event-causal-narratives\results\v5\runs\Energy_A7_Verifier-without-lag-aware-mask_PatchTST_H3_S2024_7f0397cc\predictions.npz,Energy,3,A7_Verifier-without-lag-aware-mask,True,False,False,True,False,PatchTST,random_init_input_embedding_only_pretrained_weights_timeout,failed_timeout_weights_download,432fc5f4b01772f4
0.11421765234483838,0.24589198178404736,0.3379610219312848,0.15006842298724254,0.2409220918096183,0.4895833333333333,0.2973137973137973,0.04439032835592843,A8_Random-verifier,PatchTST,2024,Energy_A8_Random-verifier_PatchTST_H3_S2024_049f1759,0.11104416847229004,96,C:\Users\Administrator\Desktop\TS\cen-ts-verifiable-event-causal-narratives\results\v5\runs\Energy_A8_Random-verifier_PatchTST_H3_S2024_049f1759\predictions.npz,Energy,3,A8_Random-verifier,True,False,False,False,False,PatchTST,random_init_input_embedding_only_pretrained_weights_timeout,failed_timeout_weights_download,432fc5f4b01772f4
0.11421765234483838,0.24589198178404736,0.3379610219312848,0.15006842298724254,0.2409220918096183,0.4895833333333333,0.2973137973137973,0.04439032835592843,A9_Shuffled-inverse-event,PatchTST,2024,Energy_A9_Shuffled-inverse-event_PatchTST_H3_S2024_88b22ad4,0.1167910099029541,96,C:\Users\Administrator\Desktop\TS\cen-ts-verifiable-event-causal-narratives\results\v5\runs\Energy_A9_Shuffled-inverse-event_PatchTST_H3_S2024_88b22ad4\predictions.npz,Energy,3,A9_Shuffled-inverse-event,True,False,True,False,False,PatchTST,random_init_input_embedding_only_pretrained_weights_timeout,failed_timeout_weights_download,432fc5f4b01772f4
0.11421765234483838,0.24589198178404736,0.3379610219312848,0.15006842298724254,0.2409220918096183,0.4895833333333333,0.2973137973137973,0.04439032835592843,A10_APO-without-forecast-feedback,PatchTST,2024,Energy_A10_APO-without-forecast-feedback_PatchTST_H3_S2024_a3cf9cdf,0.12665987014770508,96,C:\Users\Administrator\Desktop\TS\cen-ts-verifiable-event-causal-narratives\results\v5\runs\Energy_A10_APO-without-forecast-feedback_PatchTST_H3_S2024_a3cf9cdf\predictions.npz,Energy,3,A10_APO-without-forecast-feedback,True,False,False,False,True,PatchTST,random_init_input_embedding_only_pretrained_weights_timeout,failed_timeout_weights_download,432fc5f4b01772f4
